	Name Last High Low Change %Change Volume Date
 	Campbell Soup	57.88	58.78	57.64	-1.08	-1.83%	1.51M	30/05	 
 	Capital One Financial	78.28	79.59	78.23	-1.51	-1.89%	2.36M	30/05	 
 	Cardinal Health	73.55	73.61	72.56	+0.45	+0.62%	1.37M	30/05	 
 	CarMax	63.54	64.87	63.40	-1.18	-1.82%	1.66M	30/05	 
 	Carnival	63.74	64.05	63.25	+0.38	+0.60%	2.22M	30/05	 
 	Caterpillar	105.47	105.86	105.01	-0.19	-0.18%	3.21M	30/05	 
 	CBOE Holdings	86.65	86.88	85.86	+0.02	+0.02%	1.07M	30/05	 
 	CBRE	34.41	34.62	34.14	+0.02	+0.06%	1.38M	30/05	 
 	CBS	61.52	61.77	61.34	-0.05	-0.08%	1.67M	30/05	 
 	Celgene	115.13	116.81	115.06	-1.65	-1.41%	3.47M	30/05	 
 	Centene	73.46	74.69	73.33	-1.11	-1.49%	1.13M	30/05	 
 	CenterPoint Energy	28.39	28.45	28.20	+0.06	+0.21%	1.33M	30/05	 
 	CenturyLink	24.98	25.11	24.65	+0.18	+0.73%	7.54M	30/05	 
 	Cerner	65.43	65.47	64.36	+0.48	+0.74%	2.42M	30/05	 
 	CF Industries	27.91	28.37	27.89	-0.22	-0.78%	2.74M	30/05	 
 	CH Robinson	67.27	67.62	66.60	+0.23	+0.34%	1.61M	30/05	 
 	Charter Communications	338.92	340.00	334.85	+1.48	+0.44%	1.06M	30/05	 
 	Chesapeake Energy	5.100	5.260	5.040	-0.190	-3.59%	38.68M	30/05	 
 	Chevron	104.06	104.71	103.75	-0.66	-0.63%	4.29M	30/05	 
 	Chipotle Mexican Grill	475.70	477.85	472.42	-4.45	-0.93%	607.30K	30/05	 
 	Chubb	141.89	142.17	141.46	-0.35	-0.25%	844.45K	30/05	 
 	Church&Dwight	51.53	51.60	51.06	+0.43	+0.84%	1.58M	30/05	 
 	Cigna	161.50	162.27	161.05	+0.18	+0.11%	1.08M	30/05	 
 	Cimarex Energy	107.68	110.00	107.38	-3.27	-2.95%	1.22M	30/05	 
 	Cincinnati Financial	69.53	69.77	69.14	-0.38	-0.54%	484.21K	30/05	 
 	Cintas	124.75	124.95	123.77	-0.41	-0.33%	333.89K	30/05	 
 	Cisco	31.68	31.81	31.39	+0.18	+0.57%	17.11M	30/05	 
 	Citigroup	61.64	62.07	61.51	-0.43	-0.69%	12.60M	30/05	 
 	Citizens Financial Group Inc	34.25	34.51	34.12	-0.39	-1.13%	6.64M	30/05	 
 	Citrix Systems	82.15	82.44	81.66	-0.34	-0.41%	1.82M	30/05	 
 	Clorox	134.93	135.16	134.31	-0.06	-0.04%	550.14K	30/05	 
 	CME Group	117.20	117.81	116.67	-0.78	-0.66%	930.57K	30/05	 
 	CMS Energy	47.48	47.61	47.25	+0.07	+0.15%	2.11M	30/05	 
 	Coach	46.07	46.71	45.85	-0.26	-0.56%	2.45M	30/05	 
 	Coca-Cola	45.43	45.46	45.11	+0.04	+0.09%	13.09M	30/05	 
 	Cognizant	66.49	66.69	66.29	-0.30	-0.45%	5.08M	30/05	 
 	Colgate-Palmolive	76.09	76.16	75.24	+0.64	+0.85%	4.70M	30/05	 
 	Comcast	41.10	41.64	40.88	+0.19	+0.46%	25.47M	30/05	 
 	Comerica	68.50	68.99	67.87	-0.72	-1.04%	1.75M	30/05	 
 	ConAgra Foods	38.52	38.92	38.30	-0.51	-1.31%	1.75M	30/05	 
 	Concho Resources	129.51	130.21	128.16	-1.77	-1.35%	1.24M	30/05	 
 	ConocoPhillips	44.79	45.09	44.53	-0.56	-1.23%	9.28M	30/05	 
 	Consolidated Edison	82.20	82.39	81.87	+0.10	+0.12%	1.17M	30/05	 
 	Constellation Brands	180.51	181.29	179.49	-0.42	-0.23%	1.42M	30/05	 
 	Cooper	218.20	218.66	216.03	+0.74	+0.34%	293.53K	30/05	 
 	Corning	29.32	29.45	29.22	+0.02	+0.07%	5.91M	30/05	 
 	Costco	178.92	179.39	177.50	+1.06	+0.60%	2.09M	30/05	 
 	Coty Inc	18.87	19.09	18.86	-0.19	-1.00%	3.14M	30/05	 
 	CR Bard	310.03	310.50	307.99	+1.33	+0.43%	843.08K	30/05	 
 	Crown Castle	103.52	103.93	102.62	+0.71	+0.69%	3.05M	30/05	 
 	CSRA Inc	30.22	30.45	30.11	-0.24	-0.79%	802.61K	30/05	 
 	CSX	54.22	54.42	53.81	+0.26	+0.48%	7.62M	30/05	 
 	Cummins	157.34	157.97	156.06	+0.70	+0.45%	1.23M	30/05	 
 	CVS Health Corp	76.77	76.98	76.40	+0.13	+0.17%	5.12M	30/05	 
 	Danaher	84.81	84.95	83.91	+0.41	+0.49%	2.43M	30/05	 
 	Darden Restaurants	87.49	87.90	87.27	-0.46	-0.52%	817.66K	30/05	 
 	DaVita	65.20	65.31	64.36	+0.45	+0.69%	1.40M	30/05	 
 	Deere&Company	122.26	122.65	121.85	-0.53	-0.43%	3.26M	30/05	 
 	Delphi Automotive	86.60	87.48	86.60	-0.90	-1.03%	1.24M	30/05	 
 	Delta Air Lines	49.06	50.59	49.04	-1.74	-3.43%	10.52M	30/05	 
 	DENTSPLY	62.62	62.80	62.31	-0.10	-0.16%	1.70M	30/05	 
